Metric,Label,Mean,Median,Std,Min,Max,Count
char_count,Human,2333.6795544483516,2147.0,1044.8532351043166,238.0,5393.0,181438
char_count,AI,2118.628597726997,2042.5,777.2974009260244,1.0,5393.0,181434
word_count,Human,419.08124538409817,389.0,179.50675375561553,48.0,925.0,181438
word_count,AI,344.37655015046795,337.0,116.8135470272577,1.0,925.0,181434
unique_words,Human,170.18867051003647,161.0,57.83463024236969,27.0,338.0,181438
unique_words,AI,155.4750818479447,149.0,48.620115563679306,0.0,338.0,181434
sentence_count,Human,21.624428179322965,21.0,9.568438814880684,1.0,48.0,181438
sentence_count,AI,18.713647938093192,18.0,6.842891850498909,1.0,48.0,181434
paragraph_count,Human,1.0,1.0,0.0,1.0,1.0,181438
paragraph_count,AI,1.0,1.0,0.0,1.0,1.0,181434
avg_word_length,Human,4.4128291893098455,4.409,0.3065496111203994,3.098,6.007289999999979,181438
avg_word_length,AI,4.983443588081617,4.976,0.48436602868842077,0.0,6.007289999999979,181434
avg_sentence_length,Human,20.53286317089033,19.139,6.761277890144013,6.267,45.667,181438
avg_sentence_length,AI,19.066421602345756,19.0,4.044802303293077,1.0,45.667,181434
avg_paragraph_length,Human,419.08124538409817,389.0,179.50675375561553,48.0,925.0,181438
avg_paragraph_length,AI,344.37655015046795,337.0,116.8135470272577,1.0,925.0,181434
lexical_diversity,Human,0.43692487571512034,0.436,0.08332695709505637,0.0522,0.7147,181438
lexical_diversity,AI,0.47424576209530733,0.4596,0.09382220589883818,0.0,0.7147,181434
hapax_ratio,Human,0.26819237701032855,0.2636,0.08023264688248578,0.0,0.5691,181438
hapax_ratio,AI,0.3059753723116946,0.2904,0.10046072089691807,0.0,0.5691,181434
long_word_ratio,Human,0.18301598893285861,0.181,0.052710195720191096,0.0112,0.4286,181438
long_word_ratio,AI,0.2801715791968429,0.2847,0.0779268059896809,0.0,0.4286,181434
comma_count,Human,15.745400632723024,13.0,11.607761169267503,0.0,54.0,181438
comma_count,AI,20.502717241531357,19.0,10.271372861674731,0.0,54.0,181434
period_count,Human,20.834362151258283,20.0,9.525805394392052,0.0,47.0,181438
period_count,AI,17.74015895587376,17.0,6.6055855468988005,0.0,47.0,181434
exclamation_count,Human,0.2598353156450137,0.0,0.880599525233273,0.0,7.0,181438
exclamation_count,AI,0.36277654684348026,0.0,1.2575677399256346,0.0,7.0,181434
question_count,Human,0.7702080049383261,0.0,1.322812184655308,0.0,6.0,181438
question_count,AI,0.321119525557503,0.0,0.9658220855683664,0.0,6.0,181434
semicolon_count,Human,0.21562186532038494,0.0,0.611307519282807,0.0,3.0,181438
semicolon_count,AI,0.06396265308597066,0.0,0.33138885679860985,0.0,3.0,181434
punctuation_density,Human,0.020860589843362472,0.0202,0.006244882712545254,0.0,0.0504,181438
punctuation_density,AI,0.02198997155990608,0.0199,0.007818183125583866,0.0,0.0504,181434
comma_per_sentence,Human,0.7306376337922595,0.667,0.4508600307306743,0.0,2.333,181438
comma_per_sentence,AI,1.097295319510125,1.067,0.39295409999401865,0.0,2.333,181434
flesch_reading_ease,Human,62.86149263488054,64.01800170677592,16.76864110682989,-644.1803163686382,86.4279802639503,181438
flesch_reading_ease,AI,46.96265539494456,45.97652095028069,16.620890169855848,-70.56820930232558,86.4279802639503,181434
flesch_kincaid_grade,Human,9.601105515403127,9.2462624228458,2.883557922825185,1.6385240352065011,19.870320845500764,181438
flesch_kincaid_grade,AI,11.499448251370005,11.770411676646706,2.955878150524991,-2.2299999999999986,19.870320845500764,181434
gunning_fog,Human,11.844399566071719,11.463174114021571,3.0190107540025948,3.3305704099821747,22.686510101010093,181438
gunning_fog,AI,14.15770612079634,14.348821461772994,3.3622196110368474,0.0,22.686510101010093,181434
smog_index,Human,11.172181871873493,11.072351349416056,1.9200528003620898,3.1291,18.243605946275583,181438
smog_index,AI,13.542961236569871,13.771669155767515,2.4123808733488032,3.1291,18.243605946275583,181434
automated_readability,Human,10.418213873867176,9.945399405076873,3.5847230786483526,0.26854886030241687,23.16477824113936,181438
automated_readability,AI,12.366983409367778,12.642127544464735,3.3962649363144424,0.0,23.16477824113936,181434
coleman_liau,Human,8.320097820417937,8.283892136276792,1.8057807973556175,1.0729857819905213,17.635099337748347,181438
coleman_liau,AI,11.55096779879544,11.627367932596947,2.9834604964110802,-16.4,17.635099337748347,181434
dale_chall,Human,8.754413923440163,8.694226621979478,1.1879810672507156,1.4759320497197173,13.305266037638674,181438
dale_chall,AI,10.155231911590013,10.213093426287298,1.585085667727354,0.0,13.305266037638674,181434
sentiment_positive,Human,,,,,,0
sentiment_positive,AI,,,,,,0
sentiment_negative,Human,,,,,,0
sentiment_negative,AI,,,,,,0
sentiment_neutral,Human,,,,,,0
sentiment_neutral,AI,,,,,,0
sentiment_compound,Human,,,,,,0
sentiment_compound,AI,,,,,,0
