feature,importance
long_word_ratio,0.14872998075214236
avg_word_length,0.09687091202529909
coleman_liau,0.09477596629615821
comma_per_sentence,0.08092304973709188
flesch_reading_ease,0.0720893442539326
avg_paragraph_length,0.04782556402412291
word_count,0.04578756700031755
comma_count,0.04556528321549766
unique_words,0.04479901709983616
smog_index,0.043969215462110765
punctuation_density,0.0402577147662391
avg_sentence_length,0.03037428796427412
char_count,0.02817868856593821
dale_chall,0.023626961302750157
automated_readability,0.022966512632605365
gunning_fog,0.020496819738303414
question_count,0.01806233114476987
lexical_diversity,0.01725835424954002
flesch_kincaid_grade,0.016935837203039983
hapax_ratio,0.015421432732851334
